NR CRT,NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
177,"Old City Pension","Strada Constantin Brâncoveanu 500132 Brașov","Accommodation","N/A","Brașov",45.63627,25.57919,0
178,"City Garden","Brașov","Shopping Centre","N/A","Brașov",45.63343,25.63747,0
179,"Apart City Center Brasov","Strada Matei Basarab 500008 Brașov","Hotel","N/A","Brașov",45.64549,25.6075,0
180,"Grădina Zoologică Brașov","Strada Stejarului 500312 Brașov","Theme Park","City Club is the fifth studio album by the Southern California rock band The Growlers, released on 30 September 2016 by Cult Records.[1]","Brașov",45.61401,25.6332,0
181,"City Dent","Strada Dobrogeanu Gherea 500003 Brașov","Hospital or Healthcare Facility","N/A","Brașov",45.64289,25.59924,0
182,"City Club","Strada Uranus 500026 Brașov","Restaurant","City Club is the fifth studio album by the Southern California rock band The Growlers, released on 30 September 2016 by Cult Records.[1]","Brașov",45.64282,25.63134,0
183,"Book City","Brașov","Shop","N/A","Brașov",45.67205,25.61821,0
184,"Hotel City Center","Strada Traian Grozăvescu Brașov","Hotel","Brasov (Romanian pronunciation:[brasov] (listen), Latin: Corona, German: Kronstadt, Transylvanian Saxon: Kruhnen, Hungarian: Brass?) is a city in Romania and the administrative centre of Bra?ov County.","Brașov",45.65062,25.60267,0
185,"City Lights Home","Strada Stejerișului 16 500122 Brașov","Hotel","N/A","Brașov",45.6457,25.58253,0
186,"The city of Brașov.","Brașov, Romania","Attraction","Brașov (Romanian pronunciation: [braˈʃov] (listen), Latin: Corona, German: Kronstadt, Transylvanian Saxon: Kruhnen, Hungarian: Brassó) is a city in Romania and the administrative centre of Brașov County.","Brașov",45.63884076923077,25.608783076923075,0
187,"Poiana Brasov Ski & Snowboard Resort","Strada Drumul Sulinar 500001 Brașov","Sport Facility/Venue","N/A","Brașov",45.587983,25.551603,0
188,"Alpin Hotel Resort & Spa","500001 Brașov","Hotel","N/A","Brașov",45.59626,25.55132,0
189,"Mountain Villa","Strada Valea Cheii 500001 Brașov","Hotel","N/A","Brașov",45.59524,25.55703,0
190,"Alpin Resort Hotel Residence","500001 Brașov","Hotel","N/A","Brașov",45.59637,25.55126,0
191,"Silver Mountain","9-11 Brașov","Hotel","N/A","Brașov",45.60394,25.54285,0
192,"Poiana","500001 Brașov","Hotel","N/A","Brașov",45.59366,25.55707,0
193,"Hotel Monterai Resort","Strada Poiana Soarelui 500001 Brașov","Hotel","N/A","Brașov",45.609437,25.554,0
194,"Salvamont Poiana Brașov","500001 Brașov","Government or Community Facility","N/A","Brașov",45.595797,25.548769,0
195,"Piatra Mare Hotel Resort","500001 Brașov","Hotel","N/A","Brașov",45.59483,25.54803,0
196,"TraveLand Poiana Brasov","Strada Valea Lungă 500001 Brașov","Accommodation","N/A","Brașov",45.5891,25.54758,0
197,"Mountain Flat Brasov","Strada Prundului 43 500123 Brașov","Hotel","N/A","Brașov",45.63686,25.5822,0
198,"Poliția Poiana Brașov","Strada Poiana Soarelui 500001 Brașov","Police Station","N/A","Brașov",45.59366,25.55322,0
199,"Sport Hotel Poiana Brasov","500001 Brașov","Hotel","N/A","Brașov",45.5924,25.55686,0
200,"Hotel Rina Vista","500001 Brașov","Hotel","N/A","Brașov",45.59604,25.54919,0
201,"Coliba Haiducilor","Strada Drumul Sulinar 500001 Brașov","Restaurant","N/A","Brașov",45.58902,25.55438,0
202,"Drachenhaus Poiana Brasov","Strada Poiana Ruia 1 500001 Brașov","Hotel","1000 de hoteluri in Romania","Brașov",45.59792,25.55255,0
203,"Pensiunea Mountain King","507267 Sâmbăta de Sus","Accommodation","N/A","Brașov",45.6953,24.80452,0
204,"poblana near Mountain Villa, Brașov, ROU","N/A","undefined","1000 de hoteluri in Romania","Brașov",45.59524,25.55703,0
205,"poblana near Mountain Flat Brasov, Brașov, ROU","N/A","undefined","N/A","Brașov",45.63686,25.5822,0
206,"Poiana Brașov mountain resort.","Brașov, Romania","Attraction","Poiana Brașov (Romanian pronunciation: [poˈjana braˈʃov]) is a neighborhood of Brasov and a Romanian ski resort popular among visitors from many European states. After the 2010s modernization, the ski area has expanded from 50 hectares to 80 hectares and the slopes length was increased from 13.8 km to 23.9 km. most slopes now have snow cannons installed. In 2013, it hosted figure skating, alpine skiing and short track in the European Youth Olympic Winter Festival.","Brașov",45.60504826315789,25.515876947368426,0
207,"Hotel Resort Hart","505303 Predeal","Hotel","N/A","Brașov",45.52566,25.57151,0
208,"Predeal","Strada Muncii 6 505300 Predeal","Hotel","N/A","Brașov",45.506289,25.580555,0
209,"","","","N/A","Brasov",0,0,0
210,"Complex Eden","Strada Neagoe Basarab 7 505300 Predeal","Hotel","N/A","Brașov",45.51072,25.59105,0
211,"Atrium Hotel Mountain View Predeal","Strada Tudor Vladimirescu 24 505300 Predeal","Hotel","N/A","Brașov",45.50087,25.5792,0
212,"Mountain Sanctuary","Strada Avram Iancu 505300 Predeal","Accommodation","N/A","Brașov",45.51104,25.57269,0
213,"Mountain Saloon","Bulevardul Mihail Săulescu 505300 Predeal","Restaurant","N/A","Brașov",45.50241,25.57428,0
214,"Gara Predeal","505300 Predeal","Railway Station","N/A","Brașov",45.50535,25.57493,0
215,"Primaria Predeal","Bulevardul Mihail Săulescu 127 505300 Predeal","Government or Community Facility","REZERVARI: 0268 456 505 HOTEL BELVEDERE PREDEAL","Brașov",45.50794,25.57373,0
216,"Clăbucet","Strada Teleferic 505300 Predeal","Sport Facility/Venue","N/A","Brașov",45.49922,25.5766,0
217,"Mountain Saloon","Șoseaua Predeal (Soseaua Predeal) Râșnov","Restaurant","","Brașov",45.57301,25.45581,0
218,"Hotel Belvedere Predeal","Bulevardul Libertății 102 505300 Predeal","Hotel","REZERVARI: 0268 456 505 HOTEL BELVEDERE PREDEAL","Brașov",45.51039,25.59222,0
219,"Pension Regina","Bulevardul Mihail Săulescu 113 505300 Predeal","Accommodation","N/A","Brașov",45.501,25.57408,0
220,"Manastirea Predeal","Strada Mănăstirii Predeal","Religious Place","Mon-Thurs 12-3pm | 5-10pm Friday 12-3pm | 5-11pm Saturday 5-11pm Sunday 3:00 - 9:00 pm","Brașov",45.48812,25.5683,0
221,"Klass Predeal","Strada Teleferic 1 505300 Predeal","Hotel","HOTEL","Brașov",45.49968,25.57859,0
222,"Predeal Comfort Suites","Strada Trei Brazi 33 505300 Predeal","Hotel","N/A","Brașov",45.51078,25.56688,0
223,"La Fontanella","Bulevardul Mihail Săulescu 505300 Predeal","Snacks/Fast food","Mon-Thurs 12-3pm | 5-10pm Friday 12-3pm | 5-11pm Saturday 5-11pm Sunday 3:00 - 9:00 pm","Brașov",45.50072,25.57405,0
224,"Cabana Vanatorilor","Strada Trei Brazi 3 505300 Predeal","Accommodation","HOTEL","Brașov",45.50939,25.56662,0
225,"Hotel Bulevard Predeal","Bulevardul Mihail Săulescu 129 505300 Predeal","Hotel","","Brașov",45.50868,25.57395,0
226,"Hotel Hera","Strada Trei Brazi 12 505300 Predeal","Hotel","Bran Castle (Romanian: Castelul Bran; German: Torzburg), situated near Bran and in the immediate vicinity of Bra?ov, is a national monument and landmark in Romania. The fortress is situated on the border between Transylvania and Wallachia, on DN73.","Brașov",45.51184,25.56896,0
227,"Orizont Hotel","6 Predeal","Hotel","Fagaras Mountains (Romanian: Muntii Fagarasului [muntsij fagarasuluj] , Hungarian: Fogaras hegyseg []), are the highest mountains of the Southern Carpathians, in Romania. The highest peaks are:","Brașov",45.511494,25.570552,0
228,"Predeal mountain resort.","Brașov, Romania","Attraction","The page Medieval fortresses of fagaras and rasnov does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Brașov",45.50973015,25.569227850000004,0
229,"Bran with its castle often referred to as Dracula's castle.","Brașov, Romania","Attraction","Bran Castle (Romanian: Castelul Bran; German: Törzburg; Hungarian: Törcsvár), situated near Bran and in the immediate vicinity of Brașov, is a national monument and landmark in Romania. The fortress is situated on the border between Transylvania and Wallachia, on DN73.","Brașov",0,0,0
230,"The Făgăraș Mountains.","Brașov, Romania","Attraction","Făgăraș Mountains (Romanian: Munții Făgărașului [ˈmunt͡sij fəɡəˈraʃuluj] , Hungarian: Fogaras hegység [ˈfoɡɒrɒʃ hɛɟˈʃeːɡ]), are the highest mountains of the Southern Carpathians, in Romania. The highest peaks are:","Brașov",0,0,0
231,"The medieval fortresses of Făgăraș and Râșnov.","Brașov, Romania","Attraction","The page Medieval fortresses of făgăraș and râșnov does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Brașov",0,0,0
232,"The Fortified churches from the Saxon villages in the Burzenland area.","Brașov, Romania","Attraction","The south-eastern Transylvania region in Romania currently has one of the highest numbers of existing fortified churches from the 13th to 16th centuries. It has more than 150 well preserved fortified churches of a great variety of architectural styles (out of an original 300 fortified churches).","Brașov",0,0,0
233,"Brăila","Strada Siretului Brăila","Railway Station","Brăila (Romanian pronunciation: [brəˈila] (listen); Greek: Βράιλα; Turkish: İbrail) is a city in Muntenia, eastern Romania, a port on the Danube and the capital of Brăila County. The Sud-Est Regional Development Agency is located in Brăila.","Brăila",45.28122,27.95631,0
234,"Of. Poștal de Distribuire Brăila","Strada General Eremia Grigorescu 25 810073 Brăila","Post Office","N/A","Brăila",45.2804,27.9568,0
235,"Medieval City of Sibiu","Piața Mare 12 550163 Sibiu","Sights & Museums","Br?ila (Romanian pronunciation:[braila] (listen); Greek: ??????; Turkish: Ibrail) is a city in Muntenia, eastern Romania, a port on the Danube and the capital of Br?ila County. The Sud-Est Regional Development Agency is located in Br?ila.","Brăila",45.79653,24.15249,0
236,"Promenada Mall Brăila","817025 Chișcani","Shopping Centre","The spa complex operates throughout the year, with a capacity of 164 places classified as 3 stars, divided into 82 rooms, classified in the two star category. It is located in the north-eastern Baragan plain, only 5 kilometers away from Braila. The steppe climate in this area is characterized by warm summers with low rainfall and clear sky. It is one of the places in the country with the highest number of hours of sunshine, namely 2,200 hours per year. Meals are provided at their own restaurant, the unit also has space for cultural and fun activities. The treatment is provided by the new spa treatment base, equipped with facilities and equipment for performing all procedures, at the highest standards. Tourists can visit the surroundings of Br?ila, the Panait Istrati memorial house, the Small Island of Br?ila, the M?cinului Mountain and also organize trips on the Danube to the Danube Delta. Lacu Sarat resort has for free playground, tennis, etc.","Brăila",45.22908,27.93738,0
237,"Braila Mall","817025 Chișcani","Shopping Centre","N/A","Brăila",45.22987,27.93745,0
238,"The city of Brăila.","Brăila, Romania","Attraction","Brăila (Romanian pronunciation: [brəˈila] (listen); Greek: Βράιλα; Turkish: İbrail) is a city in Muntenia, eastern Romania, a port on the Danube and the capital of Brăila County. The Sud-Est Regional Development Agency is located in Brăila.","Brăila",45.363420000000005,27.188086,0
239,"Lacu Sărat","Chișcani","Administrative Region","N/A","Brăila",45.21722,27.89186,0
240,"Lacu Sărat","Pomezeu","Administrative Region","N/A","Brăila",46.80099,22.35628,0
241,"Gara Lacu Sărat","DC8 817025 Chișcani","Railway Station","N/A","Brăila",45.22625,27.86713,0
242,"Stațiunea Lacu Sărat","Chișcani","Administrative Region","N/A","Brăila",45.21579,27.91714,0
243,"Mănăstirea Lacu Sărat","Aleea Mânăstirii 817026 Chișcani","Religious Place","N/A","Brăila",45.21493,27.91522,0
244,"Plaja Lacu Sărat","Aleea Plajelor 817026 Chișcani","Sights & Museums","N/A","Brăila",45.21623,27.91593,0
245,"Centrul de Agrement Lacu Sărat","Aleea Mânăstirii 817026 Chișcani","Sights & Museums","N/A","Brăila",45.21449,27.91213,0
246,"Jandarmeria Lacu Sărat","Aleea Stejarului 817026 Chișcani","Government or Community Facility","N/A","Brăila",45.21427,27.9101,0
247,"Stațiunea Balneară Lacu Sărat","Aleea Centrală 817026 Chișcani","Hospital or Healthcare Facility","N/A","Brăila",45.21553,27.915,0
248,"Căm. Pt. Pers. Vârstnice Lacu Sărat","Aleea Centrală 817026 Chișcani","Hospital or Healthcare Facility","N/A","Brăila",45.21604,27.91934,0
249,"Lac de Verde - Golf & Leisure Resort","Strada Carierei 44 105401 Breaza","Hotel","N/A","Brăila",45.17248,25.65731,0
250,"Parcare Stațiunea Lacu Sărat","817026 Chișcani","Parking Facility","N/A","Brăila",45.21682,27.92096,0
251,"Caffe Bar Lacu Sarat","Strada Principală 817026 Chișcani","Bar/Pub","N/A","Brăila",45.216314,27.89031,0
252,"Restaurant Lacu Sarat","Aleea Centrală 817026 Chișcani","Restaurant","N/A","Brăila",45.215148,27.91212,0
253,"Vila Nufărul","Aleea Centrală 817026 Chișcani","Accommodation","N/A","Brăila",45.21531,27.91361,0
254,"The Lacu Sărat [ro] Resort.","Brăila, Romania","Attraction","N/A","Brăila",45.319187466666676,27.387629333333333,0
255,"Buzău","Bulevardul 1 Decembrie 1918 Buzău","Railway Station","N/A","Buzău",45.14322,26.82577,0
256,"Primăria Buzău","Strada Sfântul Sava Gotul 120188 Buzău","Government or Community Facility","Se ?ncarc? lista de magazine","Buzău",45.15341,26.82098,0
257,"Buzău","Șoseaua De Centură 1 Buzău","Restaurant","N/A","Buzău",45.160256,26.78594,0
258,"School Of Beauty Buzau","Strada Plevnei 120218 Buzău","Service","N/A","Buzău",45.14378,26.82351,0
259,"Kaufland","Buzău","Food & Drink","Se încarcă lista de magazine","Buzău",45.16201,26.8203,0
260,"The city of Buzău.","Buzău, Romania","Attraction","Coordinates: 4521N 2643E","Buzău",45.1525352,26.815299999999997,0
261,"The Vrancea Mountains and Buzău Mountains.","Buzău, Romania","Attraction","Coordinates: 4521N 2643E","Buzău",0,0,0
262,"Berca Mud Volcanoes","127555 Scorțoasa","Sights & Museums","Coordinates: 45°21′N 26°43′E","Buzău",45.35992,26.71407,0
263,"Berca Romania Mud Volcanoes","Buzău","Tourist Information","Coordinates: 45°21′N 26°43′E","Buzău",45.162483,26.818314,0
264,"The Berca Mud Volcanoes","Buzău, Romania","Attraction","Coordinates: 45°21′N 26°43′E","Buzău",45.2612015,26.766192,0
265,"The amber museum in Colți","Buzău, Romania","Attraction","The page Amber museum in colți does not exist. You can ask for it to be created, but consider checking the search results below to see whether the topic is already covered.","Buzău",0,0,0
266,"The Ciolanu Monastery and the Măgura sculpture camp","Buzău, Romania","Attraction","Măgura is a commune in the Buzău County of Romania, located on the right bank of the Buzău River, in the hillside next to the Carpathian Mountains' curvature. It is composed of two villages, Ciuta and Măgura. It also included Ojasca and Unguriu villages from 1968 until 2004, when these were split off to form Unguriu Commune.","Buzău",0,0,0
267,"Ratesti Monastery","Strada Principală 127121 C.A. Rosetti","Religious Place","Răteşti Monastery is a monastery of Eastern Orthodox nuns located in Berca Commune, Buzău County, Romania, on the left bank of the Buzău River.","Buzău",45.008001,27.1467,0
268,"The Rătești Monastery","Buzău, Romania","Attraction","Răteşti Monastery is a monastery of Eastern Orthodox nuns located in Berca Commune, Buzău County, Romania, on the left bank of the Buzău River.","Buzău",45.008001,27.1467,0
269,"The Amara Resort.","Buzău, Romania","Attraction","N/A","Buzău",0,0,0
270,"Sărata-Monteoru","Merei","Administrative Region","N/A","Buzău",45.1446,26.64513,0
271,"Sărata Monteoru","Strada Principală 127366 Merei","Sights & Museums","Pe 23 februarie va avea loc o întâlnire a wikipediștilor din zona Moldovei în Iași. Detalii și înscrieri în pagina întâlnirii.","Buzău",45.14597,26.64264,0
272,"Oficiul Poștal Sărata-Monteoru","Strada Principală 127366 Merei","Post Office","??","Buzău",45.14647,26.6417,0
273,"Casa David - Sarata Monteoru","Strada Principală 127366 Merei","Hotel","N/A","Buzău",45.144392,26.645822,0
274,"Vila Olga - Sarata Monteoru","Merei","Accommodation","N/A","Buzău",45.14699,26.64857,0
275,"Salt Water Swimming Pool","Merei","Sport Facility/Venue","COOKIES","Buzău",45.14969,26.63573,0
276,"Ski Vidra Transalpina","DJ701D 247750 Voineasa","Leisure & Outdoor","N/A","Buzău",45.42245,23.69544,0
277,"Hotel Casino in Sarata Monteoru","127366 Merei","Hotel","N/A","Buzău",45.148713,26.633199,0
278,"Coresi Shopping Resort","Strada Zaharia Stancu 1 Brașov","Shopping Centre","COOKIES","Buzău",45.67195,25.61633,0
279,"Resort Ambient","Strada Nucilor 507055 Cristian","Hotel","N/A","Buzău",45.62642,25.47894,0
280,"Resort David","117630 Rucăr","Hotel","N/A","Buzău",45.38622,25.18005,0
281,"Pension Natura","557190 Porumbacu de Jos","Accommodation","#Sanatate_Curata pe Valea Avrigului","Buzău",45.676872,24.452483,0
282,"Mistral Resort Moieciu","Strada Valea Băngăleasa 507134 Moieciu","Accommodation","N/A","Buzău",45.42302,25.36299,0
283,"Alpin Hotel Resort & Spa","500001 Brașov","Hotel","N/A","Buzău",45.59626,25.55132,0
284,"Grand Hotel Balvanyos (Balvanyos Resort)","DJ113 527160 Turia","Hotel","N/A","Buzău",46.11676,25.9423,0
285,"Cheile Gradistei","507131 Moieciu","Hotel","N/A","Buzău",45.46372,25.30413,0
286,"Cheile Gradistei Fundata","Fundata","Hotel","N/A","Buzău",45.4515,25.2997,0
287,"Valea Verde Resort","Strada Principală 119 547057 Bahnea","Accommodation","Calarasi (Romanian pronunciation:?[k?l??ra??] (listen)), the capital of C?l?ra?i County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Buzău",46.26921,24.51006,0
288,"Piatra Mare Hotel Resort","500001 Brașov","Hotel","Calarasi (Romanian pronunciation:?[k?l??ra??] (listen)), the capital of C?l?ra?i County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Buzău",45.59483,25.54803,0
289,"The Sărata-Monteoru Resort.","Buzău, Romania","Attraction","Calarasi (Romanian pronunciation:?[k?l??ra??] (listen)), the capital of C?l?ra?i County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Buzău",45.45926510526316,25.707082315789467,0
290,"Calarasi (Călărași)","Romania","City, Town or Village","Călărași (Romanian pronunciation: [kələˈraʃʲ] (listen)), the capital of Călărași County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Călărași",44.19657,27.3354,0
291,"Călărași","Cluj","City, Town or Village","Călărași (Romanian pronunciation: [kələˈraʃʲ] (listen)), the capital of Călărași County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Călărași",46.48551,23.85567,0
292,"Călărași","Dolj","City, Town or Village","Călărași (Romanian pronunciation: [kələˈraʃʲ] (listen)), the capital of Călărași County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Călărași",43.79224,24.04463,0
293,"Călărași","Moldova","City, Town or Village","Călărași (Romanian pronunciation: [kələˈraʃʲ] (listen)), the capital of Călărași County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Călărași",47.24362,28.31385,0
294,"Primăria Călărași","407130 Călărași","Government or Community Facility","N/A","Călărași",46.48404,23.85407,0
295,"Călăraşi Turda Hm.","DC68 407132 Călărași","Railway Station","N/A","Călărași",46.48748,23.88565,0
296,"Primaria Municipiului Călărași","Strada Ion Heliade Rădulescu Călărași","Government or Community Facility","Calarasi (Romanian pronunciation:?[k?l??ra??] (listen)), the capital of C?l?ra?i County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Călărași",44.19012,27.33492,0
297,"Gara Călărași","Strada Victor Babeș Călărași","Railway Station","N/A","Călărași",44.19939,27.33388,0
298,"Primăria Călărași","DN54A 207170 Călărași","Government or Community Facility","N/A","Călărași",43.79344,24.04822,0
299,"Călărași","Strada 1 Decembrie 1918 Călărași","Hotel","Călărași (Romanian pronunciation: [kələˈraʃʲ] (listen)), the capital of Călărași County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Călărași",44.19084,27.33108,0
300,"Parchetul Călărași","Strada Grivița Călărași","Government or Community Facility","Olteni?a (Romanian pronunciation:[oltenitsa]) is a city in Romania in the Calarasi County on the left bank of the Arge? River where its waters flows into the Danube.","Călărași",44.1957,27.32724,0
301,"Poliția Călărași","407130 Călărași","Police Station","N/A","Călărași",46.4842,23.85385,0
302,"The town of Călărași;","Călărași, Romania","Attraction","Călărași (Romanian pronunciation: [kələˈraʃʲ] (listen)), the capital of Călărași County in the Muntenia region, is situated in south-east Romania, on the bank of Danube's Borcea branch, at about 12 kilometres (7 miles) from the Bulgarian border and 125 kilometres (78 miles)from Bucharest.","Călărași",45.145262499999994,25.70987166666667,0
303,"Oltenița","Calarasi","City, Town or Village","Oltenița (Romanian pronunciation: [olˈtenit͡sa]) is a city in Romania in the Călărași County on the left bank of the Argeş River where its waters flows into the Danube.","Călărași",44.09601,26.63948,0
304,"Primăria Oltenița","Bulevardul Republicii 915400 Oltenița","Government or Community Facility","N/A","Călărași",44.08667,26.63766,0
305,"Gara Oltenița","Bulevardul Republicii 915400 Oltenița","Railway Station","N/A","Călărași",44.08551,26.6449,0
306,"Autogara Oltenița","Șoseaua Călărași 915400 Oltenița","Public Transport","N/A","Călărași",44.09682,26.64212,0
307,"Modern,Oltenita","Bulevardul Republicii 55 915400 Oltenița","Restaurant","N/A","Călărași",44.08617,26.64117,0
308,"Tribunalul Oltenița","Bulevardul Tineretului 915400 Oltenița","Government or Community Facility","N/A","Călărași",44.087008,26.63853,0
309,"Baza Siloz Oltenița","Intrarea Călărași 915400 Oltenița","Outdoor Area/Complex","Oltenita (Romanian pronunciation:?[ol?tenit?sa]) is a city in Romania in the C?l?ra?i County on the left bank of the Arge? River where its waters flows into the Danube.","Călărași",44.09543,26.65147,0
310,"Poliția Oltenița","Strada Argeșului 109-111 Oltenița","Police Station","N/A","Călărași",44.08539,26.63656,0
311,"Oltenia Business Center","Bulevardul Dem Rădulescu Râmnicu Vâlcea","Business & Services","Sfantu Gheorghe (Romanian:?[?sf?ntu ??e?or?e]; Hungarian: Sepsiszentgy?rgy or Szentgy?rgy [???p?is????r?] (listen); Yiddish: ??? ?????????) is the capital city of Covasna County, Romania. Located in the central part of the country and in the historical region of Transylvania, it lies on the Olt River in a valley between the Baraolt Mountains and Bodoc Mountains. The city administers two villages, Chilieni (Kily?n) and Co?eni (Szotyor).","Călărași",45.08692,24.36881,0
312,"The town of Oltenița;","Călărași, Romania","Attraction","Oltenița (Romanian pronunciation: [olˈtenit͡sa]) is a city in Romania in the Călărași County on the left bank of the Argeş River where its waters flows into the Danube.","Călărași",44.20065866666667,26.388966666666665,0
313,"Fishing on the Danube.","Călărași, Romania","Attraction","N/A","Călărași",0,0,0
314,"Sfantu Gheorghe","Strada 1 Decembrie 1918 520023 Sfântu Gheorghe","Sights & Museums","Sfântu Gheorghe (Romanian: [ˈsfɨntu ˈɡe̯orɡe]; Hungarian: Sepsiszentgyörgy or Szentgyörgy [ˈʃɛpʃisɛɲɟørɟ] (listen); Yiddish: סנט דזשארדזש‎) is the capital city of Covasna County, Romania. Located in the central part of the country and in the historical region of Transylvania, it lies on the Olt River in a valley between the Baraolt Mountains and Bodoc Mountains. The city administers two villages, Chilieni (Kilyén) and Coșeni (Szotyor).","Covasna",45.86497,25.79014,0
315,"Gara Sfântu Gheorghe","Strada Gării 520071 Sfântu Gheorghe","Railway Station","N/A","Covasna",45.86332,25.81006,0
316,"City Slot Sfantu Gheorghe","520089 Sfântu Gheorghe","Going Out","Daca aveti sugestii, propuneri, intrebari, va rugam sa completati campurile de mai jos. Emailul dumneavoastra va ajunge la departamentul abilitat sa va raspunda! Va multumim!","Covasna",45.85773,25.79635,0
317,"Primăria","Strada 1 Decembrie 1918 520008 Sfântu Gheorghe","Government or Community Facility","N/A","Covasna",45.86616,25.78842,0
318,"City Shaworma","Strada Grof Miko Imre 520003 Sfântu Gheorghe","Food & Drink","N/A","Covasna",45.86479,25.78809,0
319,"Profi City","Strada Narciselor Sfântu Gheorghe","Food & Drink","Daca aveti sugestii, propuneri, intrebari, va rugam sa completati campurile de mai jos. Emailul dumneavoastra va ajunge la departamentul abilitat sa va raspunda! Va multumim!","Covasna",45.86223,25.79927,0
320,"Hărnicia","Strada Nicolae Bălcescu 520027 Sfântu Gheorghe","Shop","N/A","Covasna",45.86429,25.79243,0
321,"Covasna Chamber Of Commerce And Industry","520027 Sfântu Gheorghe","Business & Services","N/A","Covasna",45.86588,25.79202,0
322,"Art of the Samurai","Strada Nicolae Bălcescu 520027 Sfântu Gheorghe","Sport Facility/Venue","cauta produse precum bere, tv, mobila, scutece","Covasna",45.8646,25.79253,0
323,"Consiliul Judetean Sfantu Gheorghe","Piața Libertății 520008 Sfântu Gheorghe","Government or Community Facility","Sfantu Gheorghe (Romanian:?[?sf?ntu ??e?or?e]; Hungarian: Sepsiszentgy?rgy or Szentgy?rgy [???p?is????r?] (listen); Yiddish: ??? ?????????) is the capital city of Covasna County, Romania. Located in the central part of the country and in the historical region of Transylvania, it lies on the Olt River in a valley between the Baraolt Mountains and Bodoc Mountains. The city administers two villages, Chilieni (Kily?n) and Co?eni (Szotyor).","Covasna",45.86676,25.78611,0
324,"Biserica Sfântu Gheorghe","Strada Alexandru Voievod 115100 Câmpulung","Religious Place","N/A","Covasna",45.26344,25.03749,0
325,"Kaufland Sfântu-Gheorghe","Strada Lunca Oltului 520036 Sfântu Gheorghe","Food & Drink","cauta produse precum bere, tv, mobila, scutece","Covasna",45.86977,25.80075,0
326,"Sfântu Gheorghe","Strada Janos Kriza 520085 Sfântu Gheorghe","Public Transport","Sfântu Gheorghe (Romanian: [ˈsfɨntu ˈɡe̯orɡe]; Hungarian: Sepsiszentgyörgy or Szentgyörgy [ˈʃɛpʃisɛɲɟørɟ] (listen); Yiddish: סנט דזשארדזש‎) is the capital city of Covasna County, Romania. Located in the central part of the country and in the historical region of Transylvania, it lies on the Olt River in a valley between the Baraolt Mountains and Bodoc Mountains. The city administers two villages, Chilieni (Kilyén) and Coșeni (Szotyor).","Covasna",45.862447,25.787266,0
327,"Zumba Sfantu Gheorghe","Strada Kos Karoly 520055 Sfântu Gheorghe","Educational Facility","N/A","Covasna",45.86072,25.78498,0
328,"China Market","Strada Tavaszy Sandor 520023 Sfântu Gheorghe","Shopping Centre","N/A","Covasna",45.86292,25.78975,0
329,"Prefectura Sfântu Gheorghe","Strada Gabor Aron 520008 Sfântu Gheorghe","Government or Community Facility","Sfantu Gheorghe (Romanian:?[?sf?ntu ??e?or?e]; Hungarian: Sepsiszentgy?rgy or Szentgy?rgy [???p?is????r?] (listen); Yiddish: ??? ?????????) is the capital city of Covasna County, Romania. Located in the central part of the country and in the historical region of Transylvania, it lies on the Olt River in a valley between the Baraolt Mountains and Bodoc Mountains. The city administers two villages, Chilieni (Kily?n) and Co?eni (Szotyor).","Covasna",45.86674,25.78587,0
330,"Biserica Sfântu Gheorghe","Bulevardul 15 Noiembrie 29 Brașov","Religious Place","N/A","Covasna",45.647819,25.603096,0
